[COLOR green]Check Date: 20180511-0842[/COLOR]@@OK
[COLOR green]Filename: ca Date: Fri Feb 16 23:23:11 2018[/COLOR]@URLFilenameca@OK Filename
 51-BEINSPORTS | SD (Sport) [COLOR green]OK 200 Retry 1[/COLOR]@ 51-BEINSPORTS | SD (Sport) [COLOR green]OK 200 Retry 1[/COLOR]URLhttp://144.217.64.126:8080/live/coke123/coke123/36570.ts@[COLOR green]OK 200 Retry 1[/COLOR]
 52-BEINSPORTS | SD (Sport) [COLOR green]OK 200 Retry 1[/COLOR]@ 52-BEINSPORTS | SD (Sport) [COLOR green]OK 200 Retry 1[/COLOR]URLhttp://144.217.64.126:8080/live/Michelle/Michelle/36570.ts@[COLOR green]OK 200 Retry 1[/COLOR]
 53-FIGHT NETWORK | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 53-FIGHT NETWORK | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76995.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 54-FIGHT NETWORK | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 54-FIGHT NETWORK | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/76995.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 55-GOLF | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 55-GOLF | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/77331.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 56-NBA TV | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 56-NBA TV | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/77347.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 57-SPORTSNET 360 | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 57-SPORTSNET 360 | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76941.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 58-SPORTSNET 360 | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 58-SPORTSNET 360 | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/76941.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 59-SPORTSNET EAST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 59-SPORTSNET EAST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/77212.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 60-SPORTSNET EAST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 60-SPORTSNET EAST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/77212.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 61-SPORTSNET ONE | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 61-SPORTSNET ONE | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76940.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 62-SPORTSNET ONTARIO | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 62-SPORTSNET ONTARIO | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76942.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 63-SPORTSNET ONTARIO | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 63-SPORTSNET ONTARIO | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/91274.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 64-SPORTSNET PACIFIC | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 64-SPORTSNET PACIFIC | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76939.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 65-SPORTSNET WEST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 65-SPORTSNET WEST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76938.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 66-SPORTSNET WEST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 66-SPORTSNET WEST | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/76938.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 67-SPORTSNET WORLD | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 67-SPORTSNET WORLD | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76937.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 68-SPORTSNET WORLD | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 68-SPORTSNET WORLD | HD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/76937.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 69-WORLD FISHING TV | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 69-WORLD FISHING TV | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/94216.ts@[COLOR green]OK Same url Retry 1[/COLOR]
 70-WORLD FISHING TV | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]@ 70-WORLD FISHING TV | SD (Sport) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/94216.ts@[COLOR green]OK Same url Retry 1[/COLOR]
200-MSNBC | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@200-MSNBC | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/77205.ts@[COLOR green]OK Same url Retry 1[/COLOR]
224-RDS | SD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@224-RDS | SD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/77262.ts@[COLOR green]OK Same url Retry 1[/COLOR]
225-RDS 2 | SD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@225-RDS 2 | SD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/77357.ts@[COLOR green]OK Same url Retry 1[/COLOR]
273-TSN 1 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@273-TSN 1 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/74882.ts@[COLOR green]OK Same url Retry 1[/COLOR]
274-TSN 2 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@274-TSN 2 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/74883.ts@[COLOR green]OK Same url Retry 1[/COLOR]
275-TSN 3 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@275-TSN 3 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76947.ts@[COLOR green]OK Same url Retry 1[/COLOR]
276-TSN 3 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@276-TSN 3 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/76947.ts@[COLOR green]OK Same url Retry 1[/COLOR]
277-TSN 4 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@277-TSN 4 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/77380.ts@[COLOR green]OK Same url Retry 1[/COLOR]
278-TSN 5 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@278-TSN 5 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://mriptv.in:8080/live/Rob/Rob1/76944.ts@[COLOR green]OK Same url Retry 1[/COLOR]
279-TSN 5 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]@279-TSN 5 | HD (_No Group) [COLOR green]OK Same url Retry 1[/COLOR]URLhttp://landiptv.live:8080/live/ricardo/ricardo/76944.ts@[COLOR green]OK Same url Retry 1[/COLOR]
