[COLOR yellow]uk.txt - Date: 20180726-1411 [/COLOR]@Filename@OK Filename
*** AutoIPTV ***@https://autoiptv.net@[COLOR red]TITLE[/COLOR]
*** Playlists ***@https://autoiptv.net/playlists@[COLOR red]TITLE[/COLOR]
4 SEVEN | HD@http://izgemma.ddns.net:8000/live/chief/chief/37163.ts@[COLOR green]OK 200[/COLOR]
4 SEVEN | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/37163.ts@[COLOR green]OK 200[/COLOR]
4SEVEN | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7756.ts@[COLOR green]OK 200[/COLOR]
5 SPIKE | SD@http://izgemma.ddns.net:8000/live/chief/chief/37420.ts@[COLOR green]OK 200[/COLOR]
5 SPIKE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37420.ts@[COLOR green]OK 200[/COLOR]
5 STAR | SD@http://izgemma.ddns.net:8000/live/chief/chief/26961.ts@[COLOR green]OK 200[/COLOR]
5 STAR | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/26961.ts@[COLOR green]OK 200[/COLOR]
5SPIKE | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/9237.ts@[COLOR green]OK 200[/COLOR]
5SPIKE | SD@http://izgemma.ddns.net:8000/live/chief/chief/9237.ts@[COLOR green]OK 200[/COLOR]
5SPIKE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/9237.ts@[COLOR green]OK 200[/COLOR]
5STAR | SD@http://iptvtool.es:9977/live/jf/iptv/27105.ts@[COLOR red]timed out[/COLOR]
5STAR | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7755.ts@[COLOR red]timed out[/COLOR]
5USA | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7748.ts@[COLOR green]OK 200[/COLOR]
A1 TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/35119.ts@[COLOR green]OK 200[/COLOR]
A1 TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/35119.ts@[COLOR green]OK 200[/COLOR]
AAJ TAK | SD@http://izgemma.ddns.net:8000/live/chief/chief/11303.ts@[COLOR red] Bad Gateway[/COLOR]
AAJ TAK | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11303.ts@[COLOR green]OK 200[/COLOR]
AASTHA | SD@http://izgemma.ddns.net:8000/live/chief/chief/11322.ts@[COLOR green]OK 200[/COLOR]
AASTHA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11322.ts@[COLOR green]OK 200[/COLOR]
ABN TV | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11337.ts@[COLOR green]OK 200[/COLOR]
ABN TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11337.ts@[COLOR green]OK 200[/COLOR]
ABN TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11337.ts@[COLOR green]OK 200[/COLOR]
ABSOLUTE 80 | SD@http://izgemma.ddns.net:8000/live/chief/chief/12583.ts@[COLOR green]OK 200[/COLOR]
ABU DHABI TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11881.ts@[COLOR green]OK 200[/COLOR]
ABU DHABI TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11881.ts@[COLOR green]OK 200[/COLOR]
AHLEBAIT TV | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11364.ts@[COLOR green]OK 200[/COLOR]
AHLEBAIT TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11364.ts@[COLOR green]OK 200[/COLOR]
AHLEBAIT TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11364.ts@[COLOR green]OK 200[/COLOR]
AHLULBAYT TV | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11373.ts@[COLOR green]OK 200[/COLOR]
AHLULBAYT TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11373.ts@[COLOR green]OK 200[/COLOR]
AHLULBAYT TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11373.ts@[COLOR green]OK 200[/COLOR]
AKAAL CHANNEL | SD@http://izgemma.ddns.net:8000/live/chief/chief/11887.ts@[COLOR green]OK 200[/COLOR]
AKAAL CHANNEL | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11887.ts@[COLOR green]OK 200[/COLOR]
AKAALCHANNEL | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7551.ts@[COLOR red]timed out[/COLOR]
AL ARABIYA | SD@http://izgemma.ddns.net:8000/live/chief/chief/12594.ts@[COLOR green]OK 200[/COLOR]
AL ARABIYA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/12594.ts@[COLOR green]OK 200[/COLOR]
AL JAZEERA | HD@http://izgemma.ddns.net:8000/live/chief/chief/11078.ts@[COLOR green]OK 200[/COLOR]
AL JAZEERA | HD@http://izgemma.ddns.net:8000/live/chief/chief/13705.ts@[COLOR red]OK  Unauthorized[/COLOR]
AL JAZEERA | HD@http://izgemma.ddns.net:8000/live/chief/chief/17934.ts@[COLOR red]OK  Unauthorized[/COLOR]
AL JAZEERA | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/11078.ts@[COLOR green]OK 200[/COLOR]
AL JAZEERA | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/13705.ts@[COLOR red]OK  Unauthorized[/COLOR]
AL JAZEERA | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17934.ts@[COLOR red]OK  Unauthorized[/COLOR]
AL JAZEERA | SD@http://212.8.250.12:25461/live/carmelo/1234/15872.ts@[COLOR red]timed out[/COLOR]
AL JAZEERA ARMENIA | SD@http://ott-cdn.ucom.am/s23/index.m3u8@[COLOR green]OK Same url[/COLOR]
AL-JAZEERA | SD@http://vismanx1.com:8080/live/kemal01/01kemal/10686.ts@[COLOR red]timed out[/COLOR]
ALB | HD@http://212.8.250.12:25461/live/carmelo/1234/17029.ts@[COLOR red]timed out[/COLOR]
ALB | SD@http://212.8.250.12:25461/live/carmelo/1234/17028.ts@[COLOR green]OK 200[/COLOR]
ALIBI | HD@http://izgemma.ddns.net:8000/live/chief/chief/37167.ts@[COLOR green]OK 200[/COLOR]
ALIBI | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17144.ts@[COLOR red]OK  Unauthorized[/COLOR]
ALIBI | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/37167.ts@[COLOR green]OK 200[/COLOR]
ALIBI | SD@http://tv2iptv.com:8000/live/mic1/45464uy/7754.ts@[COLOR green]OK 200[/COLOR]
ALIBI | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/37384.ts@[COLOR green]OK 200[/COLOR]
ALIBI | SD@http://izgemma.ddns.net:8000/live/chief/chief/37384.ts@[COLOR green]OK 200[/COLOR]
ALIBI | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37384.ts@[COLOR green]OK 200[/COLOR]
AMC | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11339.ts@[COLOR green]OK 200[/COLOR]
AMC | SD@http://izgemma.ddns.net:8000/live/chief/chief/11339.ts@[COLOR green]OK 200[/COLOR]
AMC | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11339.ts@[COLOR green]OK 200[/COLOR]
AND TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11291.ts@[COLOR green]OK 200[/COLOR]
ANIMAL PLANET | HD@http://izgemma.ddns.net:8000/live/ryan/ryan/9882.ts@[COLOR green]OK 200[/COLOR]
ANIMAL PLANET | HD@http://izgemma.ddns.net:8000/live/chief/chief/9882.ts@[COLOR green]OK 200[/COLOR]
ANIMAL PLANET | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/9882.ts@[COLOR green]OK 200[/COLOR]
ANIMAL PLANET | HD@http://izgemma.ddns.net:8000/live/chief/chief/17266.ts@[COLOR red]OK  Unauthorized[/COLOR]
ANIMAL PLANET | HD@http://izgemma.ddns.net:8000/live/shaun/shaun/17266.ts@[COLOR red]OK  Unauthorized[/COLOR]
ANIMAL PLANET | SD@http://iptvtool.es:9977/live/jf/iptv/27068.ts@[COLOR red]timed out[/COLOR]
ANIMAL PLANET | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/17219.ts@[COLOR green]OK 200[/COLOR]
ANIMAL PLANET 1 | SD@http://iptvtool.es:9977/live/jf/iptv/27067.ts@[COLOR green]OK 200[/COLOR]
APLUS TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11357.ts@[COLOR green]OK 200[/COLOR]
APLUS TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11357.ts@[COLOR green]OK 200[/COLOR]
ARY DIGTALI | SD@http://titiroq.xyz:25461/live/123412341234/123412341234/12772.ts@[COLOR red]OK  Unauthorized[/COLOR]
ASIA TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11306.ts@[COLOR green]OK 200[/COLOR]
ASIA TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11306.ts@[COLOR green]OK 200[/COLOR]
ATN BANGLA | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11363.ts@[COLOR green]OK 200[/COLOR]
ATN BANGLA | SD@http://izgemma.ddns.net:8000/live/chief/chief/11363.ts@[COLOR green]OK 200[/COLOR]
ATN BANGLA | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11363.ts@[COLOR green]OK 200[/COLOR]
BELIEVETV | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11851.ts@[COLOR green]OK 200[/COLOR]
BELIEVETV | SD@http://izgemma.ddns.net:8000/live/chief/chief/11851.ts@[COLOR green]OK 200[/COLOR]
BELIEVETV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11851.ts@[COLOR green]OK 200[/COLOR]
BEN TV | SD@http://izgemma.ddns.net:8000/live/ryan/ryan/11341.ts@[COLOR green]OK 200[/COLOR]
BEN TV | SD@http://izgemma.ddns.net:8000/live/chief/chief/37465.ts@[COLOR green]OK 200[/COLOR]
BEN TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11341.ts@[COLOR green]OK 200[/COLOR]
BEN TV | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/37465.ts@[COLOR green]OK 200[/COLOR]
BET | SD@http://tv2iptv.com:8000/live/mic1/45464uy/711.ts@[COLOR green]OK 200[/COLOR]
BLAZE | SD@http://izgemma.ddns.net:8000/live/chief/chief/11877.ts@[COLOR green]OK 200[/COLOR]
BLAZE | SD@http://izgemma.ddns.net:8000/live/shaun/shaun/11877.ts@[COLOR green]OK 200[/COLOR]
BOLIVIATV VIVO | SD@http://titiroq.xyz:25461/live/Saad55/Saad55/12887.ts@[COLOR red] Not Found[/COLOR]
